id	filename	md5	size	state
ffb411d7-35b0-48c0-991d-807d48511ca3	nationwidechildrens.org_clinical.TCGA-62-A471.xml	c89abb6fc6e7df4c4f749c137a8d21c1	53087	released
ff0f122a-10a5-46b9-8e66-baab1aefa540	nationwidechildrens.org_omf.TCGA-73-4662.xml	1e3fee22fa878680047b80acd2d9cd49	11496	released
8c673b5b-786e-44f9-9064-0f63a71a2b2b	nationwidechildrens.org_clinical.TCGA-J2-A4AG.xml	298a5859794619fccc46051ddd9f3e78	43443	released
cd88aac7-4022-48e2-bed4-247500c75892	nationwidechildrens.org_clinical.TCGA-91-6849.xml	d31d571d91c655ca64dea24ceb012f9d	34684	released
5406fa4e-1e9c-4aa6-906f-ba5b7643c0d3	nationwidechildrens.org_clinical.TCGA-62-A46V.xml	bcf3d4ebcfe83712664c05e7e3ad6c7c	35447	released
d57dd3ee-3592-4a7a-b5ab-d6d36470e6c1	nationwidechildrens.org_clinical.TCGA-55-7284.xml	c7ff0490ce165b364b15dcc17282047e	35428	released
70265ec1-d32a-4afe-bb7b-f5c253910baf	nationwidechildrens.org_clinical.TCGA-55-6970.xml	43c0113e296fe9dcab8833b38de9fda9	56957	released
10c40ba8-e326-480d-b336-9fe697925acf	nationwidechildrens.org_clinical.TCGA-44-5644.xml	604702eebb295f5d6b6716e2bcf3ab34	42939	released
b96f51d1-0e46-48b3-8dba-dc6ce9ab34ea	nationwidechildrens.org_clinical.TCGA-99-AA5R.xml	ad5023250141a1ef5d67ee94ad401298	35439	released
267651f4-969a-43af-9f84-2b7130e0a6fd	nationwidechildrens.org_clinical.TCGA-78-7154.xml	362600c65e55a1a98d666f47174487a7	34277	released
c0cb0e6a-b19e-46a5-b750-91ff91385071	nationwidechildrens.org_clinical_follow_up_v1.0_luad.txt	d8d26e69bdee6401f69493d1f757c70b	260225	released
eb645c49-ab51-422b-a383-699f92beb9a7	nationwidechildrens.org_clinical.TCGA-75-5122.xml	251336265fa289c4e8ad12ca61e22dd9	34315	released
a10ff200-542c-480e-8bf3-77202ae322ae	nationwidechildrens.org_clinical.TCGA-L9-A50W.xml	b975b44364c299bd9706621fc13c1187	36210	released
a81ec21b-ddfb-412c-9fce-fa16cb473be3	nationwidechildrens.org_clinical.TCGA-49-4501.xml	3d13567c24779740c4ad396dad6c43e2	40581	released
67699775-f29d-4efe-bbe3-473627c5414e	nationwidechildrens.org_clinical.TCGA-55-6972.xml	f829a9d9b83089946e075fa2701c3919	34605	released
2d9dc3c9-93bb-4333-a54b-230e4d71f607	nationwidechildrens.org_omf.TCGA-95-7562.xml	08f9a673f4e2410781d1837fee7e4218	10617	released
8891b54a-5ad1-4c07-824e-ff6ade92c7de	nationwidechildrens.org_clinical.TCGA-73-4677.xml	dd6be0f4ea1ed2b711899bc722057d46	34273	released
5019c061-5a4a-4fd0-9e93-1f411902f630	nationwidechildrens.org_clinical.TCGA-55-7913.xml	6ce3f6d6ccf6bd53de013a55ce151010	35545	released
47503f1e-1be3-4b57-b561-f5b8ce9865a9	nationwidechildrens.org_clinical.TCGA-97-7547.xml	d9385ad878b0e8e1bf00e8d61a5f3507	74803	released
c3c1072c-9786-483b-8ba8-935cc888811e	nationwidechildrens.org_clinical.TCGA-86-8075.xml	1e47e89ab7907ce952e2165bcf45335a	61263	released
4b31c955-6b92-45d3-81de-5a6b14ff187e	nationwidechildrens.org_clinical.TCGA-44-6147.xml	295cbc26994b3ef9bb21e5a681c5ae28	43506	released
4eb7b3a4-cc91-443c-b84b-406748cdbab9	nationwidechildrens.org_clinical.TCGA-MP-A4TH.xml	ae3f2daf0c2d75174c9ffcf84f712894	43717	released
3cd31539-7b07-4d24-8733-359ea167309d	nationwidechildrens.org_omf.TCGA-05-4405.xml	54567ae9ea3f1f1115d8b07c5bfdf14d	10678	released
0fc0dd40-c907-4364-b9f3-91f93c7b92db	nationwidechildrens.org_clinical.TCGA-91-7771.xml	2e681780ace9937108d342aedd6e2f52	46231	released
c1e91cfa-ef82-450d-ae84-37c63586cd75	nationwidechildrens.org_omf.TCGA-38-6178.xml	35b3c1e04a930696f2c90789ce45954a	10803	released
3a219981-241a-47ce-9639-a7136b819a03	nationwidechildrens.org_clinical.TCGA-91-A4BC.xml	bf930abf15aeefd2fabe0a266fc70ae6	34739	released
366826a3-b233-445f-9359-407e814eab74	nationwidechildrens.org_clinical.TCGA-MP-A4T2.xml	bb57f6f1ed9ca305ee8f44c80e8bc5b9	36289	released
c595a541-1c2a-4ce4-9092-13fffa2a24eb	nationwidechildrens.org_clinical.TCGA-73-4676.xml	9734edbdd0d5ced3445f34185803e78d	72761	released
2b733752-c398-456d-a9a6-5fab0f3eddcc	nationwidechildrens.org_omf.TCGA-80-5607.xml	53d943a914c9f3b561fc958293c5f44c	10532	released
f6a3e9e7-2736-421f-871a-5240d984b8e8	nationwidechildrens.org_clinical.TCGA-67-6217.xml	df0ea0f6ab31a4221a7a230549ee7953	41209	released
ba8c2147-875a-4fbc-b948-932363b9227e	nationwidechildrens.org_clinical.TCGA-50-5946.xml	20c29037cc68490387503a1c3d628f48	43500	released
2acb4759-54dd-44f0-822c-4a570eb64c3d	nationwidechildrens.org_clinical.TCGA-05-4403.xml	0c0cfcf7e69e50927699c01cd681bc76	26114	released
819bbedf-93f3-4018-95a8-65b9dfe68276	nationwidechildrens.org_clinical.TCGA-NJ-A4YF.xml	d2c8feef96558b80809f8f4eb1cec7e0	35174	released
e6049263-6ac7-40f7-89ac-539e9da1bdd7	nationwidechildrens.org_omf.TCGA-MP-A4TA.xml	42a3fc5e8c401ec9ebcdea4431f2d91d	11127	released
0a574fb7-74d7-463b-ae9d-e3a600119442	nationwidechildrens.org_clinical.TCGA-05-4405.xml	26a531ea46e9b5846295bffb2963c48f	34315	released
4c954685-cce1-4b80-a9b2-e998f37ac1a7	nationwidechildrens.org_clinical.TCGA-86-7711.xml	fbf63403108409784207e2fe166aaee8	54751	released
4fc3dbf1-e21b-46e3-b68b-8a7f30382924	nationwidechildrens.org_clinical.TCGA-44-A47F.xml	0c9d9ffa39614bc358f36773c1a548d1	47167	released
455e5c43-7152-4e89-9f26-755d8c5208d5	nationwidechildrens.org_omf.TCGA-55-7914.xml	310d987f3e63cdae794f697c1ad6cc63	10575	released
